id,type,src,dst,app,latency,message,ctime,size,buffer
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,10100,100000,300
101,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10101.673333333334,50000,300
101,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10101.673333333334,100000,301
-1,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10103.346666666668,50000,300
-1,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10103.346666666668,100000,301
1,LINK,9,0,SmartSurveillance,10000.000005,M.C_G,10106.660005,50000,302
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,10200,100000,303
102,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10201.673333333334,50000,304
102,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10201.673333333334,100000,305
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,10300,100000,306
103,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10301.673333333334,50000,307
103,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10301.673333333334,100000,308
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,10400,100000,309
104,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10401.673333333334,50000,310
104,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10401.673333333334,100000,311
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,10500,100000,312
105,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10501.673333333334,50000,313
105,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10501.673333333334,100000,314
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,10600,100000,315
106,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10601.673333333334,50000,316
106,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10601.673333333334,100000,317
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,10700,100000,318
107,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10701.673333333334,50000,319
107,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10701.673333333334,100000,320
